username,rating,comment
sari1709,4,"Pertama kali order. Bahannya bagus dan alus, tapi jahitannya kebanyakan tambelan, dan sedikit kurang rapi"
vita_beautyskincare,5,"Bajunya bagus bgt, gak terlalu tebel, di pake tuh nyaman, lumayan lahhh dengan harga nya, tapi tetep bagus kok makasih"
sitinurmala792,5,"bagus bangett, bahannya tebel, adminnya ramah, seneng banget pokonya order disini 👍👍"
a*****9,4,Barang so far bagus si aku sebenernya ga ngerti ini merk apaan cuma bahannya bagus dan buat kasih orang si sebenernya. Awal beli agak maju mundur takut bahan sama warna ga sesuai tapi kni bagus kok🥰🥰🥰🥰🥰
farhankucinggg,5,Kerenn kemaren pesen udah nyampe esoknya. Bahannya enak gak panas gede juga 😇
imaawsy,4,"tidak sesuai pesanan saya, saya minta yg ini dtgnya yg itu wkwk, tapi gpp untung yg beli mau. btw kain nya bagus👍🏻, lain kali diteliti lagi sebelum dikirim."
f*****n,5,"Udh milih ukuran xl tp masih kekecilan ya  kayak ukuran L, tp lumayan dr bahan, dikirim sesuai sg pesanan jg thanks"
s*****i,5,"Produknya keren. Sesuai gambar. Kainnya tebal. Recommended banget lah pokonya, udh kesekian kali beli disini. Thank you seller👍🏻"
,5,Alhamdulillah Orderan ke Dua sudah nyampek dengan slamat paking rapih banget. Sya benar benar puas blanja Di toko ini. Mau sya jadi in langga nan toko ini trimakasih shopee 
bennybangun112,5,"Real pict, cuma salah milih modelnya aja, barang memuaskan, penjual ramah."
kamsyah123456,4,Bahan tebal tapi biasanya suami ku pakai ukuran M pas tapi ini agak kekecilan harus nya aku pilih ukuran L
g*****y,5,"bagus keren gan barangnya mantap , No kaleng kaleng next belanja lagi , tapi warnanya agak beda sama yang difoto"
jabaljastip,4,"Sesuai deskripsi, semoga awet semoga tdk luntur. Untuk harga ini sesuai sih. Good, cuma aromanya kok bau aneh hehe"
fatmaa2122,4,"Alhamdulillah brg nya udah sampai,,sesuai dgn pesanan,,next order lagi😀makasih seller,,makasih shopee🙏"
l*****_,5,"Sudah langganan beli disini, biasanya selalu memuaskan tak pernah mengecewakan tapi enggak tau kenapa untuk paket yang ini agak sedikit kecewa, karena ada bagian baju yg lubang diataas lengan, jahitan juga kurang rapi.
Tak apalah tak bawa ketulang jahit biar bisa dirapikan lagi."
a*****h,5,"Kualitas bahan kain baju sangat halus,adem&ga panas, ukuran baju sesuai dgn badan&lengan. Sy Sangat puas belanja di toko ini."
rikkifirnanda01,5,"Barang original, ternyata kain nya halus ku kira agak kaku 😅"
doniitata99,4,"Beda bos sama yang digambar, model DF7 itukan gambar cerah banget ehh yang dateng rada ketuan warnanya. Kualitas bahan juga kurang tebel menurutku karna aku juga kemaren beli disebelah kualitas bahan lebih mantul seperti merk brill eght eghty"
m*****1,5,"Ini udah yang kedua kalinya pesan disini
Dan gak mengecewakan
Bahanya bagus
Sukkkkaaaaaaaa bbbbaaaaaaannnngggheeeett"
u.budiman07,5,"Pesanan sudah smpi & sesuai harapan, kemejanya Bagus bgt, suka bgt sya, bknnya jg Bagus.."
ronaldfauzansyah,5,"Keren kak
Kain bagus adem halus lumayan tebel ngga kalah jauh sama brand lain yang pernah aku beli
Walau motif dan warna ngga yang aku pilih.

Tp admin respon sangat bagus dan amanah kasih kabar dulu kalo yang aku minta kosong.

Oke bgt aku kasih bintang 5"
,5,Alhamdulillah Orderan ke 3 sudah sampai. Orderan pertama 1 kemeja. Orderan ke 2 tempo hari lansung order 2 kemeja. Sudah 3 Kali order kemeja Di toko ini smua nya pas sma badan sya. Pokok nya mantappp 
j*****7,5,"flannel nya udh dateng nih
suka bgt sama flannel nya thankyou yaa"
dneeatwentyokta,5,Barang ny sudah sampai.. Sesuai dengan yang diharapkan... Terima kasih
arsyilamode_olshop,5,Alhamdulillah pesananya sudah mendapat dan produknya Real pic
rahmaichak,5,Cakepppppp dehhhhhhhh bahannyaaa jg bagussssssssssssssss
s*****d,5,"produk bagus, sesuai gambar, harga worthit dg produk, bahan tebal dan bagus

produk bagus, sesuai gambar, harga worthit dg produk, bahan tebal dan bagus

produk bagus, sesuai gambar, harga worthit dg produk, bahan tebal dan bagus"
avrishop22,5,"pengiriman sangat cepat, pengiriman sangat cepat, pengiriman sangat cepat, pengiriman sangat cepat, produk baik, produk baik, produk baik, sesuai pesanan, sesuai pesanan, sesuai pesanan, sesuai pesanan,"
c*****5,5,"sumpah iniii tokooo gercepp bangettt, mesen kemeja kemarennn langsungg dikirimmm juga hariii ituuuuu!!! bahannya juga tebelll pokoknyaa tidak mengecewakan!!!! cusss gaisss beliiii disiniiii di jamin bagusss!!"
,5,"Kualitas sangat baik, produk original, harga mantul,  pengiriman mantul,  recommended seller banget
Langganan gan"
rendraramdani,5,Pesanan sesuai. Real pict. Kualitas Premium. Pengiriman nya cepat. Packingnya cepat. Konsumen saya puas dengan baju nya. 
riskaarami,5,"makasi gan barang sampai dengan aman, dan kurir ramah. dan barang sesuai dengan yang ada di picture dan respon penjual sangat cepat. terimakasih."
4*****7,5,Bagus udah 2x beli hasilnya bagus dan tidak mengecewakan.. pengemasan rapi dan produk aman sampai tujuan
